name,path,parent_dir,type,size_bytes
.git,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи),directory,437808
COMMIT_EDITMSG,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\COMMIT_EDITMSG,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git,file,44
config,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\config,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git,file,302
description,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\description,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git,file,73
HEAD,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\HEAD,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git,file,21
hooks,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\hooks,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git,directory,25821
applypatch-msg.sample,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\hooks\applypatch-msg.sample,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\hooks,file,478
commit-msg.sample,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\hooks\commit-msg.sample,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\hooks,file,896
fsmonitor-watchman.sample,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\hooks\fsmonitor-watchman.sample,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\hooks,file,4726
post-update.sample,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\hooks\post-update.sample,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\hooks,file,189
pre-applypatch.sample,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\hooks\pre-applypatch.sample,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\hooks,file,424
pre-commit.sample,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\hooks\pre-commit.sample,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\hooks,file,1643
pre-merge-commit.sample,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\hooks\pre-merge-commit.sample,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\hooks,file,416
pre-push.sample,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\hooks\pre-push.sample,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\hooks,file,1374
pre-rebase.sample,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\hooks\pre-rebase.sample,D:\GB\Разработчик — Data Engineer. Технологическая специализация\Погружение в Python. Part 1 (семинары в записи)\.git\hooks,file,4898
